lr,gamma,scores,avg_scores
0.0001,0.99,-258.1596558755355,-158.01672179819153
0.0001,0.99,-180.60125837318253,-158.83471421017035
0.0001,0.99,-89.83113468661983,-157.37575583583214
0.0001,0.99,-36.379429183974565,-156.6462512727152
0.0001,0.99,-107.79923087934877,-155.75974000364874
0.0001,0.99,-50.00762418438856,-154.66145764626245
0.0001,0.99,-203.9674852304965,-156.08714218030772
0.0001,0.99,-39.139813624892255,-157.18073812063446
0.0001,0.99,-110.42600007683129,-155.94592480163115
0.0001,0.99,-23.911030578092735,-155.32539776649378
0.0001,0.99,-204.1474520023521,-156.4185395510674
0.0001,0.99,-133.97993778806085,-154.07181119778986
0.0001,0.99,-48.324441297512735,-153.7438344401501
0.0001,0.99,-87.62842115353789,-153.36038682217725
0.0001,0.99,-119.15562717689413,-153.90741112594844
0.0001,0.99,-178.32608231916439,-152.9274224554015
0.0001,0.99,-432.66398538564783,-155.63636106277417
0.0001,0.99,-275.84492221388814,-157.27571948530496
0.0001,0.99,-118.9304369630019,-156.4511403179576
0.0001,0.99,-78.86108965682772,-152.41699512659605
0.0001,0.99,-193.48500376248657,-149.89635263663985
0.0001,0.99,-136.8513159141179,-150.2036066569019
0.0001,0.99,-89.66733936304757,-149.96079324068228
0.0001,0.99,-87.93533810994225,-146.84071885974575
0.0001,0.99,-85.87101133903134,-146.55156020291003
0.0001,0.99,-100.60606440870284,-146.6354887466633
0.0001,0.99,-130.0633513580902,-146.41541860982915
0.0001,0.99,-128.47632182959703,-148.00002467648588
0.0001,0.99,-129.4588894316799,-148.54630733041256
0.0001,0.99,-89.76661657686526,-146.94173528806922
0.0001,0.99,-136.19787607731624,-145.95751021242225
0.0001,0.99,-58.81071913672509,-145.0072246861053
0.0001,0.99,-121.9414026485337,-143.88380164037758
0.0001,0.99,-78.3624132856594,-143.30814187391766
0.0001,0.99,-129.81421309612713,-143.30555944735298
0.0001,0.99,-182.74812564121873,-144.4317364831012
0.0001,0.99,-209.8174873905382,-145.37097245938773
0.0001,0.99,-75.52974310402334,-145.15859013161156
0.0001,0.99,-102.66480043039559,-142.1448049921141
0.0001,0.99,-70.18993877377872,-141.3501999915924
0.0001,0.99,-84.87454034023197,-138.82686691945864
0.0001,0.99,-126.02880514445341,-138.58864989984392
0.0001,0.99,-182.7665436386104,-139.44881669016917
0.0001,0.99,-136.19934059451782,-140.35099258188202
0.0001,0.99,-102.07607173505876,-139.9304792773799
0.0001,0.99,-161.84860818850416,-140.00619547921758
0.0001,0.99,-106.98358239924414,-139.54008078588086
0.0001,0.99,-110.13293656933165,-136.92510768176496
