scores,avg_scores
-74.18421008247674,-95.49861007354463
-256.41716761273335,-97.45659724502501
-77.92694552660622,-97.62746682179423
-76.06158092372215,-97.34264850255957
-103.75363456553065,-97.24542176011231
-63.222035364481634,-96.88422131616892
-78.5464270393812,-96.40622824233105
-104.68278518011488,-96.83506719599035
-62.61167649302465,-96.7110629238933
-57.257520916570954,-96.90900949010629
-167.51957072834438,-97.76045958803687
-128.84989960466214,-98.45743809645838
-57.16538518256188,-98.11357490895261
-89.27039507264864,-98.15096932018054
-70.76011881598649,-97.9115794164223
-53.07988569246745,-97.79773396176799
-291.70697640384765,-99.94062295567794
-106.29751757973496,-100.33374205966356
-22.93013988882366,-99.74010407517915
-130.90386436779528,-99.84951866124389
-127.87388625029796,-100.55774051691294
-37.65960093272497,-100.31189013235016
-124.992053137848,-100.88731793805887
-67.32316933267711,-100.80754294227077
-61.738259383847094,-99.53166381540132
-73.69747872265935,-99.07361887482297
-81.29524986765641,-98.84224943127036
-73.78293280609992,-98.94229755759343
-0.30561588246955296,-98.76435164205482
53.76279523501371,-97.12601030737623
-126.82422438705946,-97.74646719971824
-94.24370311858218,-97.82461762734171
-88.05360453372232,-97.60709082101688
-232.26113156677587,-99.08446647137882
-61.30201872090451,-98.46232932500862
-159.74820153206923,-99.12236505949994
-44.93352431866303,-98.67832318029065
-118.40878118978831,-99.37648126989629
-101.25658443679197,-99.27947587538871
-105.86143949518302,-99.10831937247141
-118.17296486455491,-99.45469026026534
-255.24160625274328,-101.4286801053831
-47.96402444612315,-101.20026141656817
-88.34873799544062,-101.2871881173379
-116.00234369625414,-101.04010250019832
-99.69802974686077,-101.05032974189409
-128.343485070592,-101.23014257146265
-86.57109592028335,-101.21863578046467
-64.57557655666037,-101.0909952665659
-208.20739445210717,-101.97640485101076
-78.88142368120842,-102.14289620819545
-105.05426140252519,-102.48349068726128
-87.47890549572011,-100.82959104796497
-84.12164991275627,-100.7091803912863
-69.55010465509818,-100.88801929798495
-77.03771717695503,-100.71395895853586
-86.09711956826911,-101.06806517106398
-147.1544417619621,-101.9888130468975
-168.82125614425956,-102.46523938991342
-77.32380526863871,-101.18257326182683
-32.46309795529072,-100.22795266306001
-192.94971935858584,-101.52050624080675
-111.40023482064271,-101.33825413337186
-81.0277824831784,-100.88802179137043
-103.43035845766141,-100.6876577220076
-78.87137989348348,-101.35088562689725
-109.96557607991772,-101.92954093426565
-88.07157097443807,-101.74088614920157
-85.44265850911621,-101.78575388719297
-48.78220944114585,-100.70102483622095
-194.54715350108728,-101.8980546369885
-42.157012626979466,-99.63842179302364
-72.77489676350076,-98.54774435165798
-64.10545413975453,-98.39422933160908
-146.21910318329589,-99.16250184196424
-80.82651012744304,-99.22598709945566
-91.22111291447945,-99.27549837059914
-124.67439967150433,-99.5229145414712
-84.25358912488524,-100.0260190484047
-69.41290345226233,-100.34260420386585
-68.41127059930182,-100.64386109946952
-15.138000768073042,-99.14805020405345
-76.53451193403959,-99.86778523584178
-64.8789699626784,-99.06820926578271
-104.29564784193866,-99.48565988386295
-13.72785377377464,-98.3095376190819
-32.31773642301306,-97.47303957821859
-58.35908323283982,-95.8665747623657
-167.10363583189655,-96.91242905178048
-85.16117115170694,-97.13675059234832
-64.25857110224531,-97.111719120026
-65.56846001446291,-96.76700840024043
-93.13453808876771,-94.58079256399316
39.93833855750296,-93.06828994351945
-115.79442129518262,-94.28218345250914
-59.4050132428018,-94.09854795266855
-98.71002411500571,-94.56127020105856
-19.239531148425684,-91.97945031026501
-84.60970056099282,-92.0514348840817
-111.3674760505456,-92.56266347550176
-71.0956387874198,-92.53177776255119
-55.18069697617496,-90.5194130561856
34.486053950489094,-89.39528306141463
-53.78738771738167,-89.17254112935125
