lr,gamma,scores,avg_scores
0.001,0.99,8.492627233462528,-86.85212389937267
0.001,0.99,-68.24104453674914,-86.16291929297546
0.001,0.99,-13.784978486803865,-85.68803204627244
0.001,0.99,5.472910684670794,-82.1483258547802
0.001,0.99,-242.3805466018317,-82.61313943115405
0.001,0.99,-85.77361403075095,-82.34896125996788
0.001,0.99,-142.81339887929454,-82.84866304664996
0.001,0.99,-140.8565460877989,-79.8129569521454
0.001,0.99,-84.27209185243277,-78.9824979285459
0.001,0.99,-113.72777409728545,-79.4496497953482
0.001,0.99,-111.25513642926276,-79.62134323477969
0.001,0.99,-212.50131731526548,-81.30839945111636
0.001,0.99,4.395244704339658,-79.81773105244659
0.001,0.99,-14.024433154195364,-78.98584206551692
0.001,0.99,-38.508461566411555,-78.52933081879766
0.001,0.99,5.415814499049652,-77.77534678357067
0.001,0.99,-20.612641484243753,-76.89327143263657
0.001,0.99,8.041984414543805,-75.82816670406957
0.001,0.99,-13.734880907258809,-75.47951467557803
0.001,0.99,-78.57157264054418,-74.07739364523843
0.001,0.99,-42.87760345825224,-73.37617918378243
0.001,0.99,19.502941251355736,-72.54628554864611
0.001,0.99,-31.90365060272775,-72.65975284018394
0.001,0.99,-81.61671072671257,-73.09098908744988
0.001,0.99,-286.80054194645004,-75.94075812611507
0.001,0.99,-3.636032160301565,-75.4347266599614
0.001,0.99,-58.78568271192657,-75.18599786023229
0.001,0.99,-231.5466562336683,-76.57537760882187
0.001,0.99,-169.6566783872777,-77.70105364178613
0.001,0.99,46.98286867604145,-76.13898231332826
0.001,0.99,-84.48602604071273,-75.97493210219527
0.001,0.99,85.19508945858058,-74.5378020621954
0.001,0.99,-381.83023089085714,-77.5312877779959
0.001,0.99,37.82088652111351,-76.33316501698374
0.001,0.99,-116.17624631300191,-76.87119540318551
0.001,0.99,-40.73489945366167,-76.51401005445322
0.001,0.99,39.44664772422581,-75.17712512279068
0.001,0.99,71.30774902145141,-74.2624578052473
0.001,0.99,-12.786360426348793,-74.14934640179331
0.001,0.99,-110.84429464443706,-74.45246021647883
0.001,0.99,-232.20364989758264,-75.4834797001991
0.001,0.99,16.341859070913443,-74.68843526976558
0.001,0.99,84.34950884424332,-73.1246477373902
0.001,0.99,-165.2496365920686,-74.02246729717355
0.001,0.99,9.51075332043575,-72.85800240370476
0.001,0.99,-91.14227050291046,-72.75561922844678
0.001,0.99,30.529061250572227,-71.69244311013779
0.001,0.99,-23.22922353957331,-71.50275882590945
0.001,0.99,-184.30772774043925,-72.66435224881822
0.001,0.99,83.74479062183923,-70.56066175159908
0.001,0.99,84.91762189529675,-69.30577207500336
0.001,0.99,152.59617039183814,-66.84385109892811
0.001,0.99,-30.017080000765404,-65.8418652491078
0.001,0.99,119.95831081561528,-64.9660344904284
0.001,0.99,-67.69083022849388,-64.83067204906816
0.001,0.99,90.79317807858844,-63.076676694933624
0.001,0.99,-23.55674535236976,-62.2659575929508
0.001,0.99,-66.8426388290694,-62.278231436239004
0.001,0.99,-27.390898717961846,-62.00944832932577
0.001,0.99,-8.78770318219307,-61.59503379852325
0.001,0.99,-284.907490918867,-64.0565362454075
0.001,0.99,-197.0324220667776,-64.10150242282582
0.001,0.99,-33.573522913420945,-64.02204009540829
0.001,0.99,-242.75001623507643,-65.65138404078277
0.001,0.99,-221.08907518573432,-64.75449279445839
0.001,0.99,-322.96724609362855,-68.18622570377296
0.001,0.99,-47.545694323130135,-67.5532343898877
0.001,0.99,130.94825871073786,-64.34411835542312
0.001,0.99,3.1064750641600796,-63.055590740063664
0.001,0.99,-157.4627470655791,-63.93285641338938
0.001,0.99,-30.118197925566335,-63.72716379924334
0.001,0.99,-174.87398179981324,-64.51299802183372
0.001,0.99,-242.0387396176112,-65.93422273431557
0.001,0.99,163.7832073266364,-63.89334414960546
0.001,0.99,-8.093833673576128,-63.27963202019071
0.001,0.99,-330.24347150513483,-64.94094321183667
0.001,0.99,132.8877760217469,-63.56433609688124
0.001,0.99,-178.92133118613197,-65.31894944072333
0.001,0.99,-161.1056832879415,-66.2061942661638
